srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
11.12.19.95,5353,224.0.0.251,5353,udp,-,0.0,291,0,255,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,291.0,0.0,0,0,0.0,0.0,1757784966.068496,1757784966.068496,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,,
11.12.22.201,5353,224.0.0.251,5353,udp,-,0.0,255,0,1,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,255.0,0.0,0,0,0.0,0.0,1757784966.074255,1757784966.074255,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,1,0,,
11.12.6.181,5353,224.0.0.251,5353,udp,-,4.957257986068726,44090,0,1,0,0,0,-,71152.23798947752,0.0,505,0,0.0,0.0,0,0,87.3069306930693,0.0,0,0,0.03435555884715875,0.0,1757784966.075478,1757784971.032736,0.009835829337437948,0.0,0.0,0.0,0.0,0,1,0,0,0,0,2,2,0,0,2,0,,
11.12.21.236,5353,224.0.0.251,5353,udp,-,0.0,510,0,255,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,510.0,0.0,0,0,0.0,0.0,1757784966.089399,1757784966.089399,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,3,3,0,0,3,0,,
11.12.21.191,5353,224.0.0.251,5353,udp,-,0.019862890243530273,1452,0,1,0,0,0,-,584809.1520207416,0.0,6,0,0.0,0.0,0,0,242.0,0.0,0,0,0.0032759925571351958,0.0,1757784966.100418,1757784966.120281,0.003972578048706055,0.0,0.0,0.0,0.0,0,1,0,0,0,0,4,4,0,0,4,0,,
11.12.8.126,5353,224.0.0.251,5353,udp,-,0.0,409,0,1,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,409.0,0.0,0,0,0.0,0.0,1757784966.127648,1757784966.127648,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,5,5,0,0,5,0,,
11.12.5.36,65056,239.255.255.250,1900,udp,-,1.624755859375,648,0,1,0,0,0,-,3190.6332081142,0.0,3,0,0.0,0.0,0,0,216.0,0.0,0,0,0.18692612648010254,0.0,1757784966.132471,1757784967.757227,0.8123779296875,0.0,0.0,0.0,0.0,0,1,0,0,3,0,0,0,0,0,0,0,,
11.12.3.142,5353,224.0.0.251,5353,udp,-,0.0,281,0,1,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,281.0,0.0,0,0,0.0,0.0,1757784966.135241,1757784966.135241,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,6,6,0,0,6,0,,
11.12.21.25,5353,224.0.0.251,5353,udp,-,3.1537699699401855,1269,0,1,0,0,0,-,3219.004587133076,0.0,11,0,0.0,0.0,0,0,115.36363636363636,0.0,0,0,0.9168744967098417,0.0,1757784966.141237,1757784969.295007,0.31537699699401855,0.0,0.0,0.0,0.0,0,1,0,0,0,0,7,7,0,0,7,0,,
11.12.4.115,5353,224.0.0.251,5353,udp,-,0.0,434,0,1,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,434.0,0.0,0,0,0.0,0.0,1757784966.147393,1757784966.147393,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,8,8,0,0,8,0,,
11.12.4.153,57621,11.12.31.255,57621,udp,-,0.0,86,0,128,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,86.0,0.0,0,0,0.0,0.0,1757784966.162468,1757784966.162468,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,,
11.12.3.230,5353,224.0.0.251,5353,udp,-,0.0002510547637939453,455,0,1,0,0,0,-,14498828.641975308,0.0,5,0,0.0,0.0,0,0,91.0,0.0,0,0,4.637360111618597e-05,0.0,1757784966.177046,1757784966.177297,6.276369094848633e-05,0.0,0.0,0.0,0.0,0,1,0,0,0,0,9,9,0,0,9,0,,
11.12.3.34,5353,224.0.0.251,5353,udp,-,0.5851829051971436,772,0,255,0,0,0,-,10553.965170803056,0.0,2,0,0.0,0.0,0,0,386.0,0.0,0,0,0.0,0.0,1757784966.178257,1757784966.76344,0.5851829051971436,0.0,0.0,0.0,0.0,0,4,0,0,0,0,10,10,0,0,10,0,,
11.12.23.56,5353,224.0.0.251,5353,udp,-,4.748914957046509,582,0,255,0,0,0,-,980.4344870592723,0.0,6,0,0.0,0.0,0,0,97.0,0.0,0,0,0.4971106953436896,0.0,1757784966.180566,1757784970.929481,0.9497829914093018,0.0,0.0,0.0,0.0,0,4,0,0,0,0,11,11,0,0,11,0,,
11.12.5.5,5353,224.0.0.251,5353,udp,-,4.325562000274658,930,0,1,0,0,0,-,1720.0077121834308,0.0,5,0,0.0,0.0,0,0,186.0,0.0,0,0,0.2946422797022886,0.0,1757784966.204189,1757784970.529751,1.0813905000686646,0.0,0.0,0.0,0.0,0,1,0,0,0,0,12,12,0,0,12,0,,
11.12.2.211,5353,224.0.0.251,5353,udp,-,4.135563135147095,855,0,1,0,0,0,-,1653.9464581905636,0.0,5,0,0.0,0.0,0,0,171.0,0.0,0,0,0.3553899667445803,0.0,1757784966.209802,1757784970.345365,1.0338907837867737,0.0,0.0,0.0,0.0,0,1,0,0,0,0,13,13,0,0,13,0,,
11.12.3.208,5353,224.0.0.251,5353,udp,-,0.0,275,0,1,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,275.0,0.0,0,0,0.0,0.0,1757784966.225748,1757784966.225748,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,14,14,0,0,14,0,,
11.12.7.180,5353,224.0.0.251,5353,udp,-,1.4360849857330322,656,0,1,0,0,0,-,3654.3798258020374,0.0,8,0,0.0,0.0,0,0,82.0,0.0,0,0,0.4588979455653062,0.0,1757784966.227798,1757784967.663883,0.20515499796186173,0.0,0.0,0.0,0.0,0,1,0,0,0,0,15,15,0,0,15,0,,
11.12.7.101,5353,224.0.0.251,5353,udp,-,3.5707077980041504,2112,0,1,0,0,0,-,4731.834962649151,0.0,12,0,0.0,0.0,0,0,176.0,0.0,0,0,0.9984251243745037,0.0,1757784966.23233,1757784969.803038,0.32460979981855914,0.0,0.0,0.0,0.0,0,1,0,0,0,0,16,16,0,0,16,0,,
11.12.8.150,5353,224.0.0.251,5353,udp,-,0.006198883056640625,470,0,1,0,0,0,-,606560.8861538462,0.0,5,0,0.0,0.0,0,0,94.0,0.0,0,0,0.0003570003965363828,0.0,1757784966.27283,1757784966.279029,0.0015497207641601562,0.0,0.0,0.0,0.0,0,1,0,0,0,0,17,17,0,0,17,0,,
11.12.21.253,5353,224.0.0.251,5353,udp,-,0.0,365,0,1,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,365.0,0.0,0,0,0.0,0.0,1757784966.282225,1757784966.282225,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,18,18,0,0,18,0,,
